passenger1Id,passenger2Id,numberOfFlightsTogether,from,to
733,797,6,2017-01-01,2017-01-31
716,768,6,2017-01-01,2017-01-31
752,792,6,2017-01-01,2017-01-31
366,759,6,2017-01-01,2017-01-31
716,761,6,2017-01-01,2017-01-31
724,761,6,2017-01-01,2017-01-31
2152,2186,6,2017-01-01,2017-01-31
1029,1056,6,2017-01-01,2017-01-31
740,766,6,2017-01-01,2017-01-31
763,792,6,2017-01-01,2017-01-31
328,355,6,2017-01-01,2017-01-31
704,763,6,2017-01-01,2017-01-31
730,751,6,2017-01-01,2017-01-31
374,763,6,2017-01-01,2017-01-31
2153,2199,6,2017-01-01,2017-01-31
364,395,6,2017-01-01,2017-01-31
706,791,6,2017-01-01,2017-01-31
766,772,6,2017-01-01,2017-01-31
740,768,6,2017-01-01,2017-01-31
763,1056,6,2017-01-01,2017-01-31
205,274,6,2017-01-01,2017-01-31
1029,1095,6,2017-01-01,2017-01-31
215,248,6,2017-01-01,2017-01-31
768,791,6,2017-01-01,2017-01-31
761,762,6,2017-01-01,2017-01-31
366,701,6,2017-01-01,2017-01-31
733,792,6,2017-01-01,2017-01-31
764,771,6,2017-01-01,2017-01-31
328,374,6,2017-01-01,2017-01-31
374,771,6,2017-01-01,2017-01-31
2186,2197,6,2017-01-01,2017-01-31
739,1001,6,2017-01-01,2017-01-31
759,761,6,2017-01-01,2017-01-31
701,709,6,2017-01-01,2017-01-31
733,766,6,2017-01-01,2017-01-31
709,763,6,2017-01-01,2017-01-31
368,771,6,2017-01-01,2017-01-31
771,1056,6,2017-01-01,2017-01-31
205,255,6,2017-01-01,2017-01-31
354,395,6,2017-01-01,2017-01-31
771,797,6,2017-01-01,2017-01-31
730,772,6,2017-01-01,2017-01-31
730,733,6,2017-01-01,2017-01-31
1023,1029,6,2017-01-01,2017-01-31
205,299,6,2017-01-01,2017-01-31
215,255,6,2017-01-01,2017-01-31
706,751,6,2017-01-01,2017-01-31
733,761,6,2017-01-01,2017-01-31
751,797,6,2017-01-01,2017-01-31
739,762,6,2017-01-01,2017-01-31
606,650,6,2017-01-01,2017-01-31
771,791,6,2017-01-01,2017-01-31
704,740,6,2017-01-01,2017-01-31
334,392,6,2017-01-01,2017-01-31
334,360,6,2017-01-01,2017-01-31
759,764,6,2017-01-01,2017-01-31
709,791,6,2017-01-01,2017-01-31
730,755,6,2017-01-01,2017-01-31
751,792,6,2017-01-01,2017-01-31
1001,1057,6,2017-01-01,2017-01-31
366,771,6,2017-01-01,2017-01-31
706,730,6,2017-01-01,2017-01-31
716,766,6,2017-01-01,2017-01-31
324,360,6,2017-01-01,2017-01-31
324,354,6,2017-01-01,2017-01-31
704,730,6,2017-01-01,2017-01-31
1001,1029,6,2017-01-01,2017-01-31
739,1056,6,2017-01-01,2017-01-31
746,797,6,2017-01-01,2017-01-31
730,760,6,2017-01-01,2017-01-31
724,768,6,2017-01-01,2017-01-31
752,762,6,2017-01-01,2017-01-31
701,762,6,2017-01-01,2017-01-31
366,751,6,2017-01-01,2017-01-31
2152,2197,6,2017-01-01,2017-01-31
324,392,6,2017-01-01,2017-01-31
1013,1029,6,2017-01-01,2017-01-31
248,275,6,2017-01-01,2017-01-31
328,354,6,2017-01-01,2017-01-31
716,1056,6,2017-01-01,2017-01-31
355,392,6,2017-01-01,2017-01-31
739,791,6,2017-01-01,2017-01-31
759,1001,6,2017-01-01,2017-01-31
755,1053,6,2017-01-01,2017-01-31
274,299,6,2017-01-01,2017-01-31
706,709,6,2017-01-01,2017-01-31
730,791,6,2017-01-01,2017-01-31
709,768,6,2017-01-01,2017-01-31
733,1056,6,2017-01-01,2017-01-31
2152,2175,6,2017-01-01,2017-01-31
771,1001,6,2017-01-01,2017-01-31
2152,2199,6,2017-01-01,2017-01-31
3104,3123,6,2017-01-01,2017-01-31
772,797,6,2017-01-01,2017-01-31
1029,1053,6,2017-01-01,2017-01-31
255,299,6,2017-01-01,2017-01-31
764,792,6,2017-01-01,2017-01-31
760,792,6,2017-01-01,2017-01-31
759,797,6,2017-01-01,2017-01-31
733,1023,6,2017-01-01,2017-01-31
733,768,6,2017-01-01,2017-01-31
716,797,6,2017-01-01,2017-01-31
751,764,6,2017-01-01,2017-01-31
1029,1057,6,2017-01-01,2017-01-31
706,763,6,2017-01-01,2017-01-31
739,1023,6,2017-01-01,2017-01-31
355,368,6,2017-01-01,2017-01-31
706,739,6,2017-01-01,2017-01-31
733,762,6,2017-01-01,2017-01-31
701,764,6,2017-01-01,2017-01-31
362,374,6,2017-01-01,2017-01-31
706,797,6,2017-01-01,2017-01-31
701,766,6,2017-01-01,2017-01-31
1013,1023,6,2017-01-01,2017-01-31
362,392,6,2017-01-01,2017-01-31
751,761,6,2017-01-01,2017-01-31
752,768,6,2017-01-01,2017-01-31
374,716,6,2017-01-01,2017-01-31
704,760,6,2017-01-01,2017-01-31
755,791,6,2017-01-01,2017-01-31
730,759,6,2017-01-01,2017-01-31
768,771,6,2017-01-01,2017-01-31
328,364,6,2017-01-01,2017-01-31
1023,1031,6,2017-01-01,2017-01-31
2183,2186,6,2017-01-01,2017-01-31
360,392,6,2017-01-01,2017-01-31
324,362,6,2017-01-01,2017-01-31
362,395,6,2017-01-01,2017-01-31
255,274,6,2017-01-01,2017-01-31
746,768,6,2017-01-01,2017-01-31
606,684,6,2017-01-01,2017-01-31
752,791,6,2017-01-01,2017-01-31
704,733,6,2017-01-01,2017-01-31
355,395,6,2017-01-01,2017-01-31
730,762,6,2017-01-01,2017-01-31
215,293,6,2017-01-01,2017-01-31
3116,3145,6,2017-01-01,2017-01-31
724,766,6,2017-01-01,2017-01-31
768,797,6,2017-01-01,2017-01-31
701,704,6,2017-01-01,2017-01-31
740,764,6,2017-01-01,2017-01-31
205,248,6,2017-01-01,2017-01-31
706,760,6,2017-01-01,2017-01-31
771,1053,6,2017-01-01,2017-01-31
354,360,6,2017-01-01,2017-01-31
730,771,6,2017-01-01,2017-01-31
374,740,6,2017-01-01,2017-01-31
740,761,6,2017-01-01,2017-01-31
2152,2178,6,2017-01-01,2017-01-31
364,392,6,2017-01-01,2017-01-31
324,355,6,2017-01-01,2017-01-31
362,364,6,2017-01-01,2017-01-31
334,355,6,2017-01-01,2017-01-31
764,791,6,2017-01-01,2017-01-31
215,299,6,2017-01-01,2017-01-31
709,761,6,2017-01-01,2017-01-31
755,764,6,2017-01-01,2017-01-31
759,1023,6,2017-01-01,2017-01-31
355,362,6,2017-01-01,2017-01-31
704,761,6,2017-01-01,2017-01-31
739,792,6,2017-01-01,2017-01-31
709,752,6,2017-01-01,2017-01-31
761,772,6,2017-01-01,2017-01-31
704,716,6,2017-01-01,2017-01-31
366,746,6,2017-01-01,2017-01-31
364,771,6,2017-01-01,2017-01-31
364,759,6,2017-01-01,2017-01-31
324,364,6,2017-01-01,2017-01-31
724,764,6,2017-01-01,2017-01-31
2153,2183,6,2017-01-01,2017-01-31
324,368,6,2017-01-01,2017-01-31
355,366,6,2017-01-01,2017-01-31
360,364,6,2017-01-01,2017-01-31
701,706,6,2017-01-01,2017-01-31
706,740,6,2017-01-01,2017-01-31
760,797,6,2017-01-01,2017-01-31
328,334,6,2017-01-01,2017-01-31
368,733,6,2017-01-01,2017-01-31
762,764,6,2017-01-01,2017-01-31
709,724,6,2017-01-01,2017-01-31
3123,3180,6,2017-01-01,2017-01-31
1001,1031,6,2017-01-01,2017-01-31
2153,2186,6,2017-01-01,2017-01-31
739,768,6,2017-01-01,2017-01-31
761,768,6,2017-01-01,2017-01-31
205,293,6,2017-01-01,2017-01-31
759,1056,6,2017-01-01,2017-01-31
704,792,6,2017-01-01,2017-01-31
709,716,6,2017-01-01,2017-01-31
761,763,6,2017-01-01,2017-01-31
2197,2199,6,2017-01-01,2017-01-31
610,684,6,2017-01-01,2017-01-31
706,755,6,2017-01-01,2017-01-31
706,724,6,2017-01-01,2017-01-31
762,792,6,2017-01-01,2017-01-31
746,761,6,2017-01-01,2017-01-31
709,739,6,2017-01-01,2017-01-31
763,797,6,2017-01-01,2017-01-31
766,792,6,2017-01-01,2017-01-31
751,1056,6,2017-01-01,2017-01-31
706,766,6,2017-01-01,2017-01-31
1031,1056,6,2017-01-01,2017-01-31
360,368,6,2017-01-01,2017-01-31
764,772,6,2017-01-01,2017-01-31
724,791,6,2017-01-01,2017-01-31
2153,2178,6,2017-01-01,2017-01-31
354,362,6,2017-01-01,2017-01-31
706,752,6,2017-01-01,2017-01-31
755,766,6,2017-01-01,2017-01-31
791,792,6,2017-01-01,2017-01-31
759,766,6,2017-01-01,2017-01-31
368,759,6,2017-01-01,2017-01-31
2152,2183,6,2017-01-01,2017-01-31
792,797,6,2017-01-01,2017-01-31
760,764,6,2017-01-01,2017-01-31
2183,2197,6,2017-01-01,2017-01-31
275,299,6,2017-01-01,2017-01-31
334,364,6,2017-01-01,2017-01-31
709,759,6,2017-01-01,2017-01-31
709,764,6,2017-01-01,2017-01-31
730,739,6,2017-01-01,2017-01-31
366,763,6,2017-01-01,2017-01-31
366,760,6,2017-01-01,2017-01-31
771,1023,6,2017-01-01,2017-01-31
3104,3180,6,2017-01-01,2017-01-31
740,792,6,2017-01-01,2017-01-31
1056,1057,6,2017-01-01,2017-01-31
374,772,6,2017-01-01,2017-01-31
755,797,6,2017-01-01,2017-01-31
328,360,6,2017-01-01,2017-01-31
328,392,6,2017-01-01,2017-01-31
704,724,6,2017-01-01,2017-01-31
2178,2197,6,2017-01-01,2017-01-31
205,215,6,2017-01-01,2017-01-31
760,791,6,2017-01-01,2017-01-31
740,762,6,2017-01-01,2017-01-31
374,755,6,2017-01-01,2017-01-31
368,739,6,2017-01-01,2017-01-31
324,366,6,2017-01-01,2017-01-31
324,395,6,2017-01-01,2017-01-31
